SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
PML4450|FSD124E|PML4450|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
PML7206|FSD124E|PML7206|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
PNA5711|HYD343Z_HYDMGW_1|PNA5711__S_Goth_Qadir_Bux_Babbur|ZTE|PAKKA CHANNA|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
PNA5712|HYD343Z_HYDMGW_1|PNA5712__S_Goth_Karagani|ZTE|PAKKA CHANNA|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
PND3233|GUJ002H__Ferozeabad_GUJ_2|PND3233__S_MirajKey|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
PND3552|SHK536H__MunnuChowk_U_7|PND3552__H_CrescentBahuman|Huawei|Sheikhupura|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 2|Mobiserve|R1|7||27|Central-II
Pnd3843|SHK536H__MunnuChowk_U_7|Pnd3843__S_Muhalah_Farooq_Az|Huawei|Sheikhupura|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 2|Mobiserve|R1|7||27|Central-II
PND4646|SHK536H__MunnuChowk_U_7|PND4646__H_JhanduChadrana|Huawei|Sheikhupura|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 4|Mobiserve|R1|7||47|Central-I
PND8809|GUJ002H__Ferozeabad_GUJ_2|PND8809__S_AddaRasoolnagar|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||47|Central-I
PND9859|SHK536H__MunnuChowk_U_7|PND9859__P_Pattan_Road|Huawei|Sheikhupura|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 2|Mobiserve|R1|7||27|Central-II
PNS9616|PKP054H__ZiaTown_1|PNS9616__S_Chakhrata_GhulamNabi|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
PNS9617|PKP054H__ZiaTown_1|PNS9617__S_Phakki_Noor_Shah|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
PNS9618|PKP054H__ZiaTown_1|PNS9618__S_FaizKotBasti|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
