SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
OKC3649|OKR048H__MGWSHW_6|OKC3649__S_OKROkaraCantt|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||51|Central-I
OKC4328|OKR048H__MGWSHW_6|OKC4328__S_OKROkaraCantt2|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||51|Central-I
OKC4329|OKR048H__MGWSHW_6|OKC4329__S_OKROkaraCantt|Huawei|Okara|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||51|Central-I
OKC7388|OKR048H__MGWSHW_6|OKC7388__P_AddaGhambar|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||51|Central-I
OKR0432|OKR048H__MGWSHW_6|OKR0432__S_Okara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR2299|OKR048H__MGWSHW_6|OKR2299__P_RaffeeColony_UP|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR3515|OKR048H__MGWSHW_6|OKR3515__P_LarriAddaOkara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR4113|OKR048H__MGWSHW_6|OKR4113__S_YaseenColony|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR4221|OKR048H__MGWSHW_6|OKR4221__H_ChamanzarColony|Huawei|Okara|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR4289|OKR048H__MGWSHW_6|OKR4289__P_GhallaMandiOkara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR4560|OKR048H__MGWSHW_6|OKR4560__S_ChenabColony|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR4561|OKR048H__MGWSHW_6|OKR4561__H_BasharatPark|Huawei|Okara|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR7466|OKR048H__MGWSHW_6|OKR7466__S_BenazirRoad|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR7467|OKR048H__MGWSHW_6|OKR7467__S_FaridColony|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR7679|OKR048H__MGWSHW_6|OKR7679__S_LalazarOkara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR7737|OKR048H__MGWSHW_6|OKR7737__S_Mahboob_Town|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR7738|OKR048H__MGWSHW_6|OKR7738__S_AhmadTownOkara|Huawei|Okara|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR8428|OKR048H__MGWSHW_6|OKR8428__P_CanalBridge_2|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR8429|OKR048H__MGWSHW_6|OKR8429__P_Shamsia_Town_Okara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR8430|OKR048H__MGWSHW_6|OKR8430__P_FaisalColony|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OKR8432|OKR048H__MGWSHW_6|OKR8432__P_ChaudryClyOkara|Huawei|Okara|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|2||51|Central-I
OMR8969|MUL195E|OMR8969|Ericsson|C43N_Omerpur|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|26||39|Central-II
ORA3018|KHI304H__Barq_4|ORA3018__S_Ghazi line Ormara|Huawei|Ormama|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|38||70|South
ORM2014|PSH002H__KohatRd_MGW_2|ORM2014__S_Ormar|Huawei|ORMAR|Huawei OMC|Silver|Silver|Macro|North|North II|North 2|HNL|R1|18||6|North
ORM2017|PSH002H__KohatRd_MGW_2|ORM2017__H_OrmarBaghbananRD|Huawei|ORMAR|Huawei OMC|Hub|Hub|Macro|North|North II|North 2|HNL|R1|18||6|North
OTP2929|ISB649H__I-10_Building_ISB_3|OTP2929__S_Majwal|Huawei|ORRATAPAKHAR|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|15||3|North
OTP2930|ISB649H__I-10_Building_ISB_3|OTP2930__H_DairaGali|Huawei|ORRATAPAKHAR|Huawei OMC|Hub|Hub|Macro|North|North I|North 1|EPTSC|R1|15||3|North
OTP2931|ISB649H__I-10_Building_ISB_3|OTP2931__S_SeerGharbi|Huawei|ORRATAPAKHAR|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|15||3|North
OWB4543|MUL152E|OWB4543|Ericsson|OKANWALABANGLA|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
OWB8592|MUL152E|OWB8592|Ericsson|OKANWALABANGLA|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||56|Central-I
PAK6316|SUK342Z_SUKMGW_1|PAK6316__P_Ghulam_Hussain|ZTE|PAKKA CHANG|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||65|South
PAK6616|SUK342Z_SUKMGW_1|PAK6616__H_Balouch_Khan_Chang|ZTE|PAKKA CHANG|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|32||65|South
PAK6618|SUK342Z_SUKMGW_1|PAK6618__S_Gul_Manganhar_A|ZTE|PAKKA CHANG|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
PAQ0373|SUK313Z|PAQ0373__P_Pannu_Aqil|ZTE|PANNU AQIL|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ5745|SUK313Z|PAQ5745__S_Govt.School_PannuAqil|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
PAQ5769|SUK313Z|PAQ5769__P_S_Sadoja_PannuAqil|ZTE|PANNU AQIL|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
