SiteCode|BSCName|SiteName|NoofCells|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|MBU#|RBU
ABT0080|ISB200H__RNC_I-10 Building ISB_1|UABT0080__H_Kholla_Abbotabad|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT0286|ISB200H__RNC_I-10 Building ISB_1|UABT0286__H_MuqaddasPlaza|6|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT0836|ISB200H__RNC_I-10 Building ISB_1|UABT0836__H_Sikandarabad|6|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1042|ISB200H__RNC_I-10 Building ISB_1|UABT1042__S_SarbanChowk|6|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1159|ISB200H__RNC_I-10 Building ISB_1|UABT1159__S_Jhugiaan|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1416|ISB200H__RNC_I-10 Building ISB_1|UABT1416__S_HabibullahColony|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1451|ISB200H__RNC_I-10 Building ISB_1|UABT1451__S_Narian|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1452|ISB200H__RNC_I-10 Building ISB_1|UABT1452__S_JabpulJahngi|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1553|ISB200H__RNC_I-10 Building ISB_1|UABT1553__S_AyubComplex|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1709|ISB200H__RNC_I-10 Building ISB_1|UABT1709__S_Abottabad1N|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1869|ISB200H__RNC_I-10 Building ISB_1|UABT1869__S_BanniTownship|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT2076|ISB200H__RNC_I-10 Building ISB_1|UABT2076__S_Mandian|6|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT2587|ISB200H__RNC_I-10 Building ISB_1|UABT2587__S_JamiaGhousia|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
BHP0062|UMUL213E_RNC_MLTREX_1|BHP0062|6|Ericsson|BAHAWALPUR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0259|UMUL213E_RNC_MLTREX_1|BHP0259|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0399|UMUL213E_RNC_MLTREX_1|BHP0399|6|Ericsson|BAHAWALPUR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0732|UMUL213E_RNC_MLTREX_1|BHP0732|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0813|UMUL213E_RNC_MLTREX_1|BHP0813|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3504|UMUL213E_RNC_MLTREX_1|BHP3504|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3580|UMUL213E_RNC_MLTREX_1|BHP3580|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3659|UMUL213E_RNC_MLTREX_1|BHP3659|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3662|UMUL213E_RNC_MLTREX_1|BHP3662|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3907|UMUL213E_RNC_MLTREX_1|BHP3907|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP4216|UMUL213E_RNC_MLTREX_1|BHP4216|3|Ericsson|BAHAWALPUR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP4340|UMUL213E_RNC_MLTREX_1|BHP4340|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP4344|UMUL213E_RNC_MLTREX_1|BHP4344|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP7243|UMUL213E_RNC_MLTREX_1|BHP7243|3|Ericsson|BAHAWALPUR|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP7317|UMUL213E_RNC_MLTREX_1|BHP7317|6|Ericsson|BAHAWALPUR|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP7937|UMUL213E_RNC_MLTREX_1|BHP7937|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP7943|UMUL213E_RNC_MLTREX_1|BHP7943|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP8383|UMUL213E_RNC_MLTREX_1|BHP8383|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
FSD0011|UFSD212E_RNC_ZIATWN_1|FSD0011|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0018|UFSD212E_RNC_ZIATWN_1|FSD0018|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0047|UFSD212E_RNC_ZIATWN_1|FSD0047|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0055|UFSD212E_RNC_ZIATWN_1|FSD0055|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD0106|UFSD212E_RNC_ZIATWN_1|FSD0106|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0113|UFSD212E_RNC_ZIATWN_1|FSD0113|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0285|UFSD212E_RNC_ZIATWN_1|FSD0285|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0300|UFSD212E_RNC_ZIATWN_1|FSD0300|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0301|UFSD212E_RNC_ZIATWN_1|FSD0301|6|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0302|UFSD212E_RNC_ZIATWN_1|FSD0302|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD0413|UFSD212E_RNC_ZIATWN_1|FSD0413|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0414|UFSD212E_RNC_ZIATWN_1|FSD0414|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0415|UFSD212E_RNC_ZIATWN_1|FSD0415|6|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0417|UFSD212E_RNC_ZIATWN_1|FSD0417|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0420|UFSD212E_RNC_ZIATWN_1|FSD0420|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0720|UFSD212E_RNC_ZIATWN_1|FSD0720|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0762|UFSD212E_RNC_ZIATWN_1|FSD0762|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0763|UFSD212E_RNC_ZIATWN_1|FSD0763|6|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0786|UFSD212E_RNC_ZIATWN_1|FSD0786|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0787|UFSD212E_RNC_ZIATWN_1|FSD0787|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD0812|UFSD212E_RNC_ZIATWN_1|FSD0812|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD0828|UFSD212E_RNC_ZIATWN_1|FSD0828|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD0844|UFSD212E_RNC_ZIATWN_1|FSD0844|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD1676|UFSD212E_RNC_ZIATWN_1|FSD1676|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3080|UFSD212E_RNC_ZIATWN_1|FSD3080|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3082|UFSD212E_RNC_ZIATWN_1|FSD3082|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3083|UFSD212E_RNC_ZIATWN_1|FSD3083|6|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3085|UFSD212E_RNC_ZIATWN_1|FSD3085|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD3202|UFSD212E_RNC_ZIATWN_1|FSD3202|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3204|UFSD212E_RNC_ZIATWN_1|FSD3204|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD3205|UFSD212E_RNC_ZIATWN_1|FSD3205|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3264|UFSD212E_RNC_ZIATWN_1|FSD3264|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD3265|UFSD212E_RNC_ZIATWN_1|FSD3265|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3267|UFSD212E_RNC_ZIATWN_1|FSD3267|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3268|UFSD212E_RNC_ZIATWN_1|FSD3268|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3269|UFSD212E_RNC_ZIATWN_1|FSD3269|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3270|UFSD212E_RNC_ZIATWN_1|FSD3270|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3271|UFSD212E_RNC_ZIATWN_1|FSD3271|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3272|UFSD212E_RNC_ZIATWN_1|FSD3272|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3274|UFSD212E_RNC_ZIATWN_1|FSD3274|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3276|#N/A|#N/A|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3279|UFSD212E_RNC_ZIATWN_1|FSD3279|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3280|UFSD212E_RNC_ZIATWN_1|FSD3280|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3281|UFSD212E_RNC_ZIATWN_1|FSD3281|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3282|UFSD212E_RNC_ZIATWN_1|FSD3282|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3284|UFSD212E_RNC_ZIATWN_1|FSD3284|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3285|UFSD212E_RNC_ZIATWN_1|FSD3285|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3287|UFSD212E_RNC_ZIATWN_1|FSD3287|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3290|UFSD212E_RNC_ZIATWN_1|FSD3290|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3291|UFSD212E_RNC_ZIATWN_1|FSD3291|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3301|UFSD212E_RNC_ZIATWN_1|FSD3301|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3303|UFSD212E_RNC_ZIATWN_1|FSD3303|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3307|UFSD212E_RNC_ZIATWN_1|FSD3307|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3309|UFSD212E_RNC_ZIATWN_1|FSD3309|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3311|UFSD212E_RNC_ZIATWN_1|FSD3311|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3561|UFSD212E_RNC_ZIATWN_1|FSD3561|4|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3718|UFSD212E_RNC_ZIATWN_1|FSD3718|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD3721|UFSD212E_RNC_ZIATWN_1|FSD3721|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3726|UFSD212E_RNC_ZIATWN_1|FSD3726|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3731|UFSD212E_RNC_ZIATWN_1|FSD3731|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3733|UFSD212E_RNC_ZIATWN_1|FSD3733|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3868|UFSD212E_RNC_ZIATWN_1|FSD3868|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3877|UFSD212E_RNC_ZIATWN_1|FSD3877|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3878|UFSD212E_RNC_ZIATWN_1|FSD3878|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3879|UFSD212E_RNC_ZIATWN_1|FSD3879|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD3903|UFSD212E_RNC_ZIATWN_1|FSD3903|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD3904|UFSD212E_RNC_ZIATWN_1|FSD3904|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD3905|UFSD212E_RNC_ZIATWN_1|FSD3905|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD4135|UFSD212E_RNC_ZIATWN_1|FSD4135|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD4685|UFSD212E_RNC_ZIATWN_1|FSD4685|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD4690|UFSD212E_RNC_ZIATWN_1|FSD4690|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD4695|UFSD212E_RNC_ZIATWN_1|FSD4695|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD4698|UFSD212E_RNC_ZIATWN_1|FSD4698|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD4699|UFSD212E_RNC_ZIATWN_1|FSD4699|6|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD4701|UFSD212E_RNC_ZIATWN_1|FSD4701|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD4828|UFSD212E_RNC_ZIATWN_1|FSD4828|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD4829|UFSD212E_RNC_ZIATWN_1|FSD4829|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7213|UFSD212E_RNC_ZIATWN_1|FSD7213|3|Ericsson|Faisalabad|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD7215|UFSD212E_RNC_ZIATWN_1|FSD7215|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD7217|UFSD212E_RNC_ZIATWN_1|FSD7217|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7320|UFSD212E_RNC_ZIATWN_1|FSD7320|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7369|UFSD212E_RNC_ZIATWN_1|FSD7369|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7422|UFSD212E_RNC_ZIATWN_1|FSD7422|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD7426|UFSD212E_RNC_ZIATWN_1|FSD7426|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD7452|UFSD212E_RNC_ZIATWN_1|FSD7452|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7453|UFSD212E_RNC_ZIATWN_1|FSD7453|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD7469|UFSD212E_RNC_ZIATWN_1|FSD7469|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7470|UFSD212E_RNC_ZIATWN_1|FSD7470|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD7641|UFSD212E_RNC_ZIATWN_1|FSD7641|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7654|UFSD212E_RNC_ZIATWN_1|FSD7654|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD7655|UFSD212E_RNC_ZIATWN_1|FSD7655|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7690|UFSD212E_RNC_ZIATWN_1|FSD7690|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7697|UFSD212E_RNC_ZIATWN_1|FSD7697|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD7948|UFSD212E_RNC_ZIATWN_1|FSD7948|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD7953|UFSD212E_RNC_ZIATWN_1|FSD7953|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD7956|UFSD212E_RNC_ZIATWN_1|FSD7956|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|26|Central-II
FSD7958|UFSD212E_RNC_ZIATWN_1|FSD7958|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
FSD7959|UFSD212E_RNC_ZIATWN_1|FSD7959|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD8341|UFSD212E_RNC_ZIATWN_1|FSD8341|2|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Micro/Mini|Center II|Center II|Central 2|Ericsson|R2|21|27|Central-II
FSD8492|UFSD212E_RNC_ZIATWN_1|FSD8492|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD8494|UFSD212E_RNC_ZIATWN_1|FSD8494|3|Ericsson|Faisalabad|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|Ericsson|R2|21|28|Central-II
FSD8938|UFSD212E_RNC_ZIATWN_1|FSD8938|3|Ericsson|Faisalabad|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 2|Ericsson|R2|21|25|Central-II
GJC0278|ULHR203H__RNC_FRF_2|UGJC0278__Rahwali|6|Huawei|Gujranwala|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 4|Huawei|R1|9|76|Central-I
GJC3541|ULHR203H__RNC_FRF_2|UGJC3541__GUJArtilleryMosque|3|Huawei|Gujranwala|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Huawei|R1|9|76|Central-I
GJC4667|ULHR203H__RNC_FRF_2|UGJC4667__GUJDHA1GujCantt|3|Huawei|Gujranwala|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 4|Huawei|R1|9|76|Central-I
GJC8976|ULHR203H__RNC_FRF_2|UGJC8976__RahwaliGate|6|Huawei|Gujranwala|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 4|Huawei|R1|9|76|Central-I
