SiteCode|BSCName|SiteName|NoofCells|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|MBU#|RBU
LHR4730|ULHR204H__RNC_FRF_3|ULHR4730__S_ShalimarTown|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR4734|ULHR204H__RNC_FRF_3|ULHR4734__SabzazarMBlk|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|16|Central-I
LHR4738|ULHR204H__RNC_FRF_3|ULHR4738__S_MandTown|3|Huawei|Rawind|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR4751|"
ULHR201H__RNC_FRF_1"|ULHR4751__BandianWalaPull|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR4752|"
ULHR201H__RNC_FRF_1"|ULHR4752__SherwaniColony|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR4755|ULHR204H__RNC_FRF_3|ULHR4755__S_LinkKatarBundRd|3|Huawei|Rawind|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR6900|"
ULHR201H__RNC_FRF_1"|ULHR6900__GulbergIII|6|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR6919|ULHR204H__RNC_FRF_3|ULHR6919__S_WestTechFactoryLhr|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR6929|ULHR204H__RNC_FRF_3|ULHR6929__S_KhokharChowkLhr|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR6931|"
ULHR201H__RNC_FRF_1"|ULHR6931__BostanColony|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR6935|ULHR204H__RNC_FRF_3|ULHR6935__S_Gulistan_Colony_PW|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR6936|ULHR204H__RNC_FRF_3|ULHR6936__S_ShahbazRd|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR6938|ULHR204H__RNC_FRF_3|ULHR6938__P_MarkazEOffice|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR6961|"
ULHR201H__RNC_FRF_1"|ULHR6961__P_CollegeRdTownshipLHR|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR7747|"
ULHR201H__RNC_FRF_1"|ULHR7747__MillatChowk|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR7748|ULHR204H__RNC_FRF_3|ULHR7748__P_RaviLinkRoad|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR7754|ULHR204H__RNC_FRF_3|ULHR7754__S_AbdullahChowk|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR8003|"
ULHR201H__RNC_FRF_1"|ULHR8003__HKBDHA_MINI|2|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR8095|"
ULHR201H__RNC_FRF_1"|ULHR8095__PearlContinental_II|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR8204|ULHR204H__RNC_FRF_3|ULHR8204__S_ShahAlamChowk|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR8246|"
ULHR201H__RNC_FRF_1"|ULHR8246__FRFMini|4|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8251|"
ULHR201H__RNC_FRF_1"|ULHR8251__PC_HR_Micro|1|Huawei|Lahore|Huawei OMC|Silver|Silver|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|6|15|Central-I
LHR8807|ULHR204H__RNC_FRF_3|ULHR8807__MoeezArcade|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|15|Central-I
LHR8813|"
ULHR201H__RNC_FRF_1"|ULHR8813__UIttefaqHospital|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8829|"
ULHR201H__RNC_FRF_1"|ULHR8829__S_RaceClubRdLHR|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8830|"
ULHR201H__RNC_FRF_1"|ULHR8830__GhulamColony|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR8838|ULHR204H__RNC_FRF_3|ULHR8838__QadirCenter|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR8857|"
ULHR201H__RNC_FRF_1"|ULHR8857__P_Ahmad_Nagar|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8858|ULHR204H__RNC_FRF_3|ULHR8858__S_GujjaPirRd|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR8859|ULHR204H__RNC_FRF_3|ULHR8859__P_AhbabColonyLahore|3|Huawei|Rawind|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8903|ULHR204H__RNC_FRF_3|ULHR8903__SabzazarEBlk|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|16|Central-I
LHR8936|ULHR204H__RNC_FRF_3|ULHR8936__UCMHCantt|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR8937|ULHR204H__RNC_FRF_3|ULHR8937__RachnoBlkAIT|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|15|Central-I
LHR8973|"
ULHR201H__RNC_FRF_1"|ULHR8973__USNGPLGurumangat|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR8975|"
ULHR201H__RNC_FRF_1"|ULHR8975__S_MianChowk|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8982|ULHR204H__RNC_FRF_3|ULHR8982__P_AltafClny|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
LHR8994|"
ULHR201H__RNC_FRF_1"|ULHR8994__FRFMobilink|3|Huawei|Lahore|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 1|Huawei|R1|4|16|Central-I
LHR8999|"
ULHR201H__RNC_FRF_1"|ULHR8999__HajiPark|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|4|17|Central-I
LHR9677|ULHR204H__RNC_FRF_3|ULHR9677__S_SaggianWala|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|21|Central-I
LHR9684|"
ULHR201H__RNC_FRF_1"|ULHR9684__MobilinkHouse|1|Huawei|Lahore|Huawei OMC|Silver|Silver|Micro/Mini|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR9698|"
ULHR201H__RNC_FRF_1"|ULHR9698__Askari10Clny|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|5|18|Central-I
LHR9699|ULHR204H__RNC_FRF_3|ULHR9699__S_LinkRd|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|19|Central-I
LHR9727|ULHR204H__RNC_FRF_3|ULHR9727__BBlockSabzazar|3|Huawei|Lahore|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 1|Huawei|R1|5|16|Central-I
LHR9729|ULHR204H__RNC_FRF_3|ULHR9729__S_AfzalParkLahore|3|Huawei|Lahore|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 1|Huawei|R1|6|18|Central-I
