MUL478E__MGWMUL_5,Alcatel,27
OKR544H__MGWSHW_8,Huawei,27
MPK371E__MirpurKhas,Alcatel,27
MGH724E__MGWMGH_2,Alcatel,27
APR419E__APurEast_4,Alcatel,27
BHP687E__MGWBHP_7,Alcatel,26
BKR613E__NazirTown_2,Alcatel,26
LHR204H__Gardentown_2,Huawei,26
MNW608E__Wandy_2,Alcatel,26
FSD731E__ZiaTwn8,Alcatel,26
LHR855H__Eden_1,Huawei,26
MGH474E__MGWMGH_5,Alcatel,25
SDQ516E__Gallamandi_4,Alcatel,25
LHR542H___FRF__10,Huawei,25
BHP520E__MGWBHP_5,Alcatel,25
LHR860H__FRF_4,Huawei,25
SUK680E__MGWSUK_2,Alcatel,25
LHR862H__FRF_6,Huawei,25
MLS476E__PuranaHasilPur_3,Alcatel,25
MUL477E__MGWMUL_4,Alcatel,25
MUL620E__MGWMUL_3,Alcatel,25
MPK375E__MirpurKhas_2,Alcatel,25
LHR857H__Eden_3,Huawei,25
KTI632M__BSC105_LasDaman_2,Motorola,25
VHR519E__Railwayst_3,Alcatel,25
BRW626E__Satellite_1,Alcatel,24
APR425E__APurEast_6,Alcatel,24
MOR381E__Moro,Alcatel,24
HYD393E__MGWHYD_7,Alcatel,24
SDQ515E__Gallamandi_3,Alcatel,23
LKN329E__Larkana,Alcatel,23
ISB677M__BSC92_MSC5_SR_11,Motorola,23
SHK535H__MunnuChowk_U_6,Huawei,23
LHR136H__MunnuChowk_L_1,Huawei,23
SUK347E__MGWSUK_7,Alcatel,22
APR424E__APurEast_5,Alcatel,22
CWA630M__BSC101_KalarKahar_1,Motorola,22
BWN461E__DPOoffice_3,Alcatel,21
JHG464E__Araiyain_3,Alcatel,21
NWB370E__Nawabshah_2,Alcatel,21
APR622E__ApurEast_1,Alcatel,20
MGO533M__BSC165_Kanju_1,Motorola,20
MRP593M__BSC79_Jatlan_1,Motorola,19
LHR854H__FRF_2,Huawei,19
JRD611E__Sundar1,Alcatel,19
BGH430M__BSC113_ToppaAJK,Motorola,19
GKI616E__Ghotki_2,Alcatel,19
MRD226M__BSC69_PakistanChowk_3,Motorola,19
TOB619E__Office_2,Alcatel,19
BGH631M__BSC104_BarmougKurd_1,Motorola,18
LHR863H__FRF_7,Huawei,18
LHR139H__MunnuChowk_L_2,Huawei,18
LHR865H__FRF_9,Huawei,18
PND556M__BSC067_PindiBhattian_1,Motorola,18
