LHR858H__Eden_4|Huawei|31|0|0
MUL492E__Abdali|Alcatel|31|0|0
HYD796E__MGWHYD_4|Alcatel|31|0|0
ARW445E__PKPRoad4|Alcatel|31|0|0
KNL404E__Khanewal_3|Alcatel|31|0|0
LHR159H__MunnuChowk_L_8|Huawei|30|0|0
RYK495E__Gulshiqbal_3|Alcatel|30|0|0
KNL397E__Khanewal|Alcatel|30|0|0
SGD616E__Rafiq3|Alcatel|30|0|0
KHI555E__Barq_3|Alcatel|30|0|0
BRW451E__PuranaHasilpur|Alcatel|29|0|0
MPK376E__MirpurKhas_3|Alcatel|29|0|0
SUK804E__MGWSUK_4|Alcatel|29|0|0
LHR156H__MunnuChowk_L_7|Huawei|29|0|0
BHP683E__MGWBHP2|Alcatel|29|0|0
MGH475E__MGWMGH_6|Alcatel|28|0|0
SUK791E__MGWSUK_3|Alcatel|28|0|0
LHR132H__Gardentown_4|Huawei|28|0|0
KNL413E__Khanewal_4|Alcatel|28|0|0
MUL478E__MGWMUL_5|Alcatel|27|0|0
OKR544H__MGWSHW_8|Huawei|27|28|-1 
MPK371E__MirpurKhas|Alcatel|27|0|0
MGH724E__MGWMGH_2|Alcatel|27|0|0
APR419E__APurEast_4|Alcatel|27|0|0
BHP687E__MGWBHP_7|Alcatel|26|0|0
BKR613E__NazirTown_2|Alcatel|26|0|0
LHR204H__Gardentown_2|Huawei|26|0|0
MNW608E__Wandy_2|Alcatel|26|0|0
FSD731E__ZiaTwn8|Alcatel|26|0|0
LHR855H__Eden_1|Huawei|26|0|0
MGH474E__MGWMGH_5|Alcatel|25|0|0
SDQ516E__Gallamandi_4|Alcatel|25|0|0
LHR542H___FRF__10|Huawei|25|0|0
BHP520E__MGWBHP_5|Alcatel|25|0|0
LHR860H__FRF_4|Huawei|25|0|0
SUK680E__MGWSUK_2|Alcatel|25|0|0
LHR862H__FRF_6|Huawei|25|0|0
MLS476E__PuranaHasilPur_3|Alcatel|25|0|0
MUL477E__MGWMUL_4|Alcatel|25|0|0
MUL620E__MGWMUL_3|Alcatel|25|0|0
MPK375E__MirpurKhas_2|Alcatel|25|0|0
LHR857H__Eden_3|Huawei|25|0|0
KTI632M__BSC105_LasDaman_2|Motorola|25|0|0
VHR519E__Railwayst_3|Alcatel|25|0|0
BRW626E__Satellite_1|Alcatel|24|0|0
APR425E__APurEast_6|Alcatel|24|0|0
MOR381E__Moro|Alcatel|24|0|0
HYD393E__MGWHYD_7|Alcatel|24|0|0
